#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
24        	8         	ok              	1.6910000000e+01	1.5472000000e+03	1.4556759483e+20	7.9161392988e+19	2.3690255803e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	8         	ok              	1.4270000000e+01	1.5634000000e+03	1.2155685686e+20	6.6110454431e+19	2.3687967071e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	8         	ok              	1.2040000000e+01	1.5735000000e+03	1.0189509071e+20	5.5421211685e+19	2.3686217554e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	7         	ok              	1.0160000000e+01	1.5778000000e+03	8.5745585671e+19	4.6639945382e+19	2.3684935452e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	7         	ok              	8.5680000000e+00	1.5765000000e+03	7.2366692923e+19	3.9364229911e+19	2.3684020886e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	6         	ok              	7.2290000000e+00	1.5740000000e+03	6.1152366728e+19	3.3265172025e+19	2.3683286400e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	6         	ok              	6.0990000000e+00	1.5731000000e+03	5.1621466529e+19	2.8081388585e+19	2.3682646299e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	6         	ok              	5.1450000000e+00	1.5717000000e+03	4.3584742630e+19	2.3710024507e+19	2.3682140446e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	5         	ok              	4.3410000000e+00	1.5680000000e+03	3.6860033500e+19	2.0052106587e+19	2.3681771712e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	5         	ok              	3.6620000000e+00	1.5619000000e+03	3.1215640217e+19	1.6981708902e+19	2.3681506349e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
